price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issueDate,duration,stationID,regionID,solarSystemID,jumps,
289999992.0,18.0,40519,32767,4861048045,25,1,False,2017-05-08 07:35:05.000,90,1023164547009,10000002,30000144,1,
289999993.0,18.0,40519,32767,4861075871,20,1,False,2017-05-08 07:33:01.000,90,1023164547009,10000002,30000144,1,
289999994.0,7.0,40519,32767,4861051461,24,1,False,2017-05-08 07:20:08.000,90,1023164547009,10000002,30000144,1,
289999997.0,20.0,40519,32767,4861073382,20,1,False,2017-05-08 07:14:12.000,90,1023164547009,10000002,30000144,1,
289999999.0,42.0,40519,32767,4860928682,57,1,False,2017-05-08 06:51:59.000,90,1023164547009,10000002,30000144,1,
290000000.0,50.0,40519,32767,4861022689,50,1,False,2017-05-08 06:50:42.000,90,1023164547009,10000002,30000144,1,
290001000.0,17.0,40519,32767,4860903185,50,1,False,2017-05-08 06:50:28.000,90,1023164547009,10000002,30000144,1,
290002000.0,41.0,40519,32767,4861022791,41,1,False,2017-05-08 06:49:14.000,90,1023164547009,10000002,30000144,1,
290002000.0,41.0,40519,32767,4861024202,41,1,False,2017-05-08 06:49:29.000,90,1023164547009,10000002,30000144,1,
290002000.0,50.0,40519,32767,4861030990,50,1,False,2017-05-08 06:50:15.000,90,1023164547009,10000002,30000144,1,
290005000.0,50.0,40519,32767,4861024807,50,1,False,2017-05-08 06:41:52.000,90,1023164547009,10000002,30000144,1,
290009000.0,50.0,40519,32767,4861024718,50,1,False,2017-05-08 06:37:30.000,90,1023164547009,10000002,30000144,1,
290013000.0,50.0,40519,32767,4861023766,50,1,False,2017-05-08 05:53:16.000,90,1023164547009,10000002,30000144,1,
290016000.0,41.0,40519,32767,4861022740,41,1,False,2017-05-08 05:52:20.000,90,1023164547009,10000002,30000144,1,
290020000.0,41.0,40519,32767,4861022898,41,1,False,2017-05-08 05:51:11.000,90,1023164547009,10000002,30000144,1,
290028000.0,55.0,40519,32767,4861022134,55,1,False,2017-05-08 05:45:54.000,90,1023164547009,10000002,30000144,1,
290032000.0,51.0,40519,32767,4861022280,51,1,False,2017-05-08 05:43:59.000,90,1023164547009,10000002,30000144,1,
290090000.0,50.0,40519,32767,4860902814,50,1,False,2017-05-08 02:19:50.000,90,1023164547009,10000002,30000144,1,
290101000.0,50.0,40519,32767,4860902694,50,1,False,2017-05-08 02:20:03.000,90,1023164547009,10000002,30000144,1,
290101000.0,37.0,40519,32767,4860902339,37,1,False,2017-05-08 02:20:23.000,90,1023164547009,10000002,30000144,1,
290110000.0,89.0,40519,32767,4860903635,91,1,False,2017-05-08 01:37:10.000,90,1023164547009,10000002,30000144,1,
290400800.0,14.0,40519,32767,4856277125,15,1,False,2017-05-02 21:05:17.000,30,1023164547009,10000002,30000144,1,
290600000.0,12.0,40519,32767,4857681235,12,1,False,2017-05-04 16:34:43.000,90,1023164547009,10000002,30000144,1,
290600800.0,20.0,40519,32767,4856276870,20,1,False,2017-05-02 21:04:54.000,30,1023164547009,10000002,30000144,1,
290800000.0,12.0,40519,32767,4857681363,12,1,False,2017-05-04 16:34:52.000,90,1023164547009,10000002,30000144,1,
290800800.0,20.0,40519,32767,4856276638,20,1,False,2017-05-02 21:04:33.000,30,1023164547009,10000002,30000144,1,
293799000.0,31.0,40519,32767,4857680984,31,1,False,2017-05-06 16:50:07.000,90,1023164547009,10000002,30000144,1,
296699996.0,13.0,40519,32767,4861077751,13,1,False,2017-05-08 07:24:02.000,90,1024292990162,10000002,30000140,1,
296699997.0,7.0,40519,32767,4861077479,7,1,False,2017-05-08 07:23:27.000,90,1024292990162,10000002,30000140,1,
296699998.0,10.0,40519,32767,4860768339,10,1,False,2017-05-08 07:22:43.000,90,1024292990162,10000002,30000140,1,
296699999.0,10.0,40519,32767,4860768533,10,1,False,2017-05-08 07:22:01.000,90,1024292990162,10000002,30000140,1,
296699999.0,5.0,40519,32767,4860769151,5,1,False,2017-05-08 07:22:13.000,90,1024292990162,10000002,30000140,1,
296699999.0,2.0,40519,32767,4860769309,5,1,False,2017-05-08 07:22:22.000,90,1024292990162,10000002,30000140,1,
296700000.0,1.0,40519,32767,4853657474,1,1,False,2017-04-30 03:15:07.000,90,1021333527513,10000002,30000162,10,
297682998.0,10.0,40519,32767,4860768802,10,1,False,2017-05-08 07:22:36.000,90,1024292990162,10000002,30000140,1,
297682999.0,5.0,40519,32767,4860768892,5,1,False,2017-05-08 07:22:29.000,90,1024292990162,10000002,30000140,1,
297683000.0,27.0,40519,32767,4861083269,30,1,False,2017-05-08 07:34:56.000,90,60003760,10000002,30000142,0,
297685000.0,18.0,40519,32767,4861032056,30,1,False,2017-05-08 06:50:05.000,90,60003760,10000002,30000142,0,
297688000.0,5.0,40519,32767,4857679964,41,1,False,2017-05-08 06:49:40.000,90,60003760,10000002,30000142,0,
297688000.0,21.0,40519,32767,4851585192,21,1,False,2017-05-08 06:49:46.000,90,60003760,10000002,30000142,0,
297688000.0,74.0,40519,32767,4861022634,74,1,False,2017-05-08 06:50:00.000,90,60003760,10000002,30000142,0,
297779999.0,78.0,40519,32767,4860739764,140,1,False,2017-05-08 01:50:26.000,90,60003760,10000002,30000142,0,
297789999.0,59.0,40519,32767,4860862651,70,1,False,2017-05-08 01:09:29.000,90,60003760,10000002,30000142,0,
297881000.0,71.0,40519,32767,4860933462,71,1,False,2017-05-08 02:21:23.000,90,60003760,10000002,30000142,0,
297891000.0,70.0,40519,32767,4860933703,70,1,False,2017-05-08 02:21:52.000,90,60003760,10000002,30000142,0,
297999999.69,8.0,40519,32767,4825707066,20,1,False,2017-04-22 20:23:24.000,90,60003760,10000002,30000142,0,
299999000.0,240.0,40519,32767,4860740236,350,1,False,2017-05-08 06:42:32.000,90,60003760,10000002,30000142,0,
300000000.0,1.0,40519,32767,4835340499,1,1,False,2017-04-09 19:26:00.000,30,60003760,10000002,30000142,0,
300000000.0,1.0,40519,32767,4846293854,1,1,False,2017-04-22 00:00:59.000,90,60003760,10000002,30000142,0,
300000003.64,2.0,40519,32767,4828177439,2,1,False,2017-04-01 21:14:34.000,90,60003760,10000002,30000142,0,
306900000.0,4.0,40519,32767,4825165030,4,1,False,2017-04-23 23:06:45.000,90,60003760,10000002,30000142,0,
349979000.0,68.0,40519,32767,4855112139,70,1,False,2017-05-02 21:03:34.000,90,1023164547009,10000002,30000144,1,
284799003.18,8.0,40519,1,4861066482,8,1,True,2017-05-08 07:26:29.000,90,1023164547009,10000002,30000144,1,
284799003.0,9.0,40519,1,4861075990,9,1,True,2017-05-08 07:19:49.000,90,1023164547009,10000002,30000144,1,
284799002.2,6.0,40519,-1,4860953428,6,1,True,2017-05-08 07:11:28.000,90,60003760,10000002,30000142,0,
284799002.13,11.0,40519,1,4861002625,15,1,True,2017-05-08 06:49:21.000,90,1024292990162,10000002,30000140,1,
284798022.14,7.0,40519,1,4861056858,8,1,True,2017-05-08 06:38:32.000,90,1024292990162,10000002,30000140,1,
284798002.1,22.0,40519,1,4859278330,97,1,True,2017-05-08 02:19:17.000,90,1024292990162,10000002,30000140,1,
284798002.05,2.0,40519,-1,4860127353,2,1,True,2017-05-07 21:02:30.000,30,60003760,10000002,30000142,0,
284798002.04,4.0,40519,-1,4860607119,4,1,True,2017-05-07 19:04:55.000,90,60003760,10000002,30000142,0,
284798002.03,1.0,40519,-1,4851004153,1,1,True,2017-05-07 17:15:07.000,7,60003760,10000002,30000142,0,
284798002.02,1.0,40519,-1,4851003986,1,1,True,2017-05-07 17:14:30.000,7,60003760,10000002,30000142,0,
284798002.01,3.0,40519,-1,4856665841,3,1,True,2017-05-07 11:25:21.000,90,60003760,10000002,30000142,0,
284798000.05,10.0,40519,-1,4860037160,10,1,True,2017-05-07 07:25:44.000,30,60003760,10000002,30000142,0,
284613100.59,6.0,40519,1,4860896292,10,1,True,2017-05-08 01:12:07.000,90,1023164547009,10000002,30000144,1,
284613100.55,15.0,40519,1,4858994099,20,1,True,2017-05-06 23:24:50.000,90,1023164547009,10000002,30000144,1,
